タイトル,プラットフォーム,配信開始日時,制作会社,URL
女神「異世界転生何になりたいですか」俺「勇者の肋骨で」,AnimeFesta,2026-04-12 02:30,Qzil.la,https://rokkotsu-anime.com/
悲劇の元凶となる最強外道ラスボス女王は民の為に尽くします。Season２,ABEMA,2026-04-07 22:30,OLM TEAM YOSHIOKA,https://lastame.com/
おねがいアイプリ,Lemino,2026-03-31 10:00,OLM,https://aipri.jp/anime/special/onegai/
おねがいアイプリ,Prime Video,2026-03-31 17:00,OLM,https://aipri.jp/anime/special/onegai/
おねがいアイプリ,アニメタイムズ,2026-03-31 17:00,OLM,https://aipri.jp/anime/special/onegai/
おねがいアイプリ,dアニメストア,2026-03-31 17:00,OLM,https://aipri.jp/anime/special/onegai/
おねがいアイプリ,U-NEXT,2026-03-31 17:00,OLM,https://aipri.jp/anime/special/onegai/
杖と剣のウィストリア Season2,ABEMA,2026-04-05 17:30,BN Pictures,https://wistoria-anime.com/
杖と剣のウィストリア Season2,dアニメストア,2026-04-05 17:30,BN Pictures,https://wistoria-anime.com/
杖と剣のウィストリア Season2,U-NEXT,2026-04-05 17:30,BN Pictures,https://wistoria-anime.com/
杖と剣のウィストリア Season2,アニメ放題,2026-04-05 17:30,BN Pictures,https://wistoria-anime.com/
杖と剣のウィストリア Season2,DMM TV,2026-04-05 17:30,BN Pictures,https://wistoria-anime.com/
杖と剣のウィストリア Season2,Prime Video,2026-04-12 17:30,BN Pictures,https://wistoria-anime.com/
杖と剣のウィストリア Season2,Netflix,2026-04-17 17:30,BN Pictures,https://wistoria-anime.com/
杖と剣のウィストリア Season2,バンダイチャンネル,2026-04-17 17:30,BN Pictures,https://wistoria-anime.com/
杖と剣のウィストリア Season2,Hulu,2026-04-17 17:30,BN Pictures,https://wistoria-anime.com/
杖と剣のウィストリア Season2,FOD,2026-04-17 17:30,BN Pictures,https://wistoria-anime.com/
夜桜さんちの大作戦 第2期,アニメタイムズ,2026-03-31 16:00,SILVER LINK.,https://mission-yozakura-family.com/
夜桜さんちの大作戦 第2期,アニメ放題,2026-03-31 16:00,SILVER LINK.,https://mission-yozakura-family.com/
夜桜さんちの大作戦 第2期,バンダイチャンネル,2026-03-31 16:00,SILVER LINK.,https://mission-yozakura-family.com/
上伊那ぼたん、酔へる姿は百合の花,ABEMA,2026-04-10 00:00,ソワネ,https://kamiina-botan.com/
上伊那ぼたん、酔へる姿は百合の花,Netflix,2026-04-10 12:00,ソワネ,https://kamiina-botan.com/
上伊那ぼたん、酔へる姿は百合の花,Prime Video,2026-04-10 12:00,ソワネ,https://kamiina-botan.com/
上伊那ぼたん、酔へる姿は百合の花,dアニメストア,2026-04-10 12:00,ソワネ,https://kamiina-botan.com/
上伊那ぼたん、酔へる姿は百合の花,dアニメストア for Prime Video,2026-04-14 12:00,ソワネ,https://kamiina-botan.com/
神の庭付き楠木邸,ABEMA,2026-04-04 00:00,JUVENAGE,https://kusunokitei.com/
神の庭付き楠木邸,dアニメストア,2026-04-04 00:00,JUVENAGE,https://kusunokitei.com/
神の庭付き楠木邸,U-NEXT,2026-04-09 02:00,JUVENAGE,https://kusunokitei.com/
NEEDY GIRL OVERDOSE,ABEMA,2026-04-04 00:00,Yostar Pictures,https://needygirl-anime.com/
NEEDY GIRL OVERDOSE,dアニメストア,2026-04-04 12:00,Yostar Pictures,https://needygirl-anime.com/
NEEDY GIRL OVERDOSE,Prime Video,2026-04-04 12:00,Yostar Pictures,https://needygirl-anime.com/
NEEDY GIRL OVERDOSE,dアニメストア for Prime Video,2026-04-04 12:00,Yostar Pictures,https://needygirl-anime.com/
NEEDY GIRL OVERDOSE,FOD,2026-04-07 00:00,Yostar Pictures,https://needygirl-anime.com/
NEEDY GIRL OVERDOSE,Lemino,2026-04-07 00:00,Yostar Pictures,https://needygirl-anime.com/
NEEDY GIRL OVERDOSE,AnimeFesta,2026-04-07 00:00,Yostar Pictures,https://needygirl-anime.com/
NEEDY GIRL OVERDOSE,アニメタイムズ,2026-04-07 00:00,Yostar Pictures,https://needygirl-anime.com/
